Month,Day,Day of Week,Hour,Occupancy
1,11,4,5,0.125
1,11,4,6,0.625
1,11,4,7,4.875
1,11,4,8,9.75
1,11,4,9,8.75
1,11,4,10,6.0
1,11,4,11,6.0
1,11,4,12,7.25
1,11,4,13,8.625
1,11,4,14,8.625
1,11,4,15,9.25
1,11,4,16,13.0
1,11,4,17,18.0
1,11,4,18,7.375
1,11,4,19,8.75
1,11,4,20,5.75
1,11,4,21,4.125
1,11,4,22,3.0
1,11,4,23,1.25
1,11,5,0,1.375
1,11,5,1,0.5
1,11,5,2,0.0
1,11,5,3,0.125
1,11,5,4,0.0
1,11,5,5,0.0
1,11,5,6,0.375
1,11,5,7,2.875
1,11,5,8,8.875
1,11,5,9,8.875
1,11,5,10,5.875
1,11,5,11,5.875
1,11,5,12,7.75
1,11,5,13,8.25
1,11,5,14,9.375
1,11,5,15,10.5
1,11,5,16,13.625
1,11,5,17,16.5
1,11,5,18,11.5
1,11,5,19,9.0
1,11,5,20,7.125
1,11,5,21,4.75
1,11,5,22,4.75
1,11,5,23,4.0
1,12,5,0,0.875
1,12,5,1,0.25
1,12,5,2,0.0
1,12,5,3,0.0
1,12,5,4,0.0
1,12,5,5,0.0
1,12,5,6,0.625
1,12,5,7,4.0
1,12,5,8,9.125
1,12,5,9,7.875
1,12,5,10,5.75
1,12,6,0,2.5
1,12,6,1,1.5
1,12,6,2,1.0
1,12,6,3,0.625
1,12,6,4,0.0
1,12,6,5,0.0
1,12,6,6,0.0
1,12,6,7,0.25
1,12,6,8,1.375
1,12,6,9,3.0
1,12,6,10,4.625
1,12,6,11,5.625
1,12,6,12,7.5
1,12,6,13,7.625
1,12,6,14,8.0
1,12,6,15,8.5
1,12,6,16,9.875
1,12,6,17,7.375
1,12,6,18,8.0
1,12,6,19,6.625
1,12,6,20,4.5
1,12,6,21,3.875
1,12,6,22,4.375
1,12,6,23,4.875
1,13,0,0,2.75
1,13,0,1,2.25
1,13,0,2,1.75
1,13,0,3,1.25
1,13,0,4,0.125
1,13,0,5,0.0
1,13,0,6,0.0
1,13,0,7,0.0
1,13,0,8,0.375
1,13,0,9,1.875
1,13,0,10,2.375
1,13,0,11,4.875
1,13,0,12,5.5
1,13,0,13,7.375
1,13,0,14,7.5
1,13,0,15,7.25
1,13,0,16,8.25
1,13,0,17,7.5
1,13,0,18,6.375
1,13,0,19,4.75
1,13,0,20,3.0
1,13,0,21,2.875
1,13,0,22,1.875
1,13,0,23,1.0
1,14,1,0,0.375
1,14,1,1,0.0
1,14,1,2,0.0
1,14,1,3,0.0
1,14,1,4,0.0
1,14,1,5,0.0
1,14,1,6,0.5
1,14,1,7,3.375
1,14,1,8,8.166666666666666
1,15,5,6,0.25
1,15,5,7,1.75
1,15,5,8,3.875
1,15,5,9,4.0
1,15,5,10,3.375
1,15,5,11,3.75
1,15,5,12,5.125
1,15,5,13,5.375
1,15,5,14,6.375
1,15,5,15,7.25
1,15,5,16,7.625
1,15,5,17,7.375
1,15,5,18,6.5
1,15,5,19,4.375
1,15,5,20,3.125
1,15,5,21,2.375
1,15,5,22,2.25
1,15,5,23,1.625
1,16,2,13,1.5
1,16,2,14,1.375
1,16,2,15,1.375
1,16,2,16,1.875
1,16,2,17,2.125
1,16,2,18,1.875
1,16,2,19,1.0
1,16,2,20,0.875
1,16,2,21,0.5
1,16,2,22,0.0
1,16,2,23,0.125
1,16,6,0,0.75
1,16,6,1,0.5
1,16,6,2,0.125
1,16,6,3,0.0
1,16,6,4,0.0
1,16,6,5,0.0
1,16,6,6,0.0
1,16,6,7,0.25
1,16,6,8,1.25
1,16,6,9,2.375
1,16,6,10,3.375
1,16,6,11,4.625
1,16,6,12,5.375
1,16,6,13,6.5
1,16,6,14,6.625
1,16,6,15,6.375
1,16,6,16,6.25
1,16,6,17,6.25
1,16,6,18,5.875
1,16,6,19,4.75
1,16,6,20,2.75
1,16,6,21,2.25
1,16,6,22,2.125
1,16,6,23,1.75
1,17,0,0,1.0
1,17,0,1,0.25
1,17,0,2,0.125
1,17,0,3,0.125
1,17,0,4,0.0
1,17,0,5,0.0
1,17,0,6,0.0
1,17,0,7,0.0
1,17,0,8,0.5
1,17,0,9,1.25
1,17,0,10,2.125
1,17,0,11,3.25
1,17,0,12,4.75
1,17,0,13,5.5
1,17,0,14,6.0
1,17,0,15,5.5
1,17,0,16,5.5
1,17,0,17,5.25
1,17,0,18,4.125
1,17,0,19,3.25
1,17,0,20,2.25
1,17,0,21,1.75
1,17,0,22,1.25
1,17,0,23,0.5
1,17,3,0,0.0
1,17,3,1,0.0
1,17,3,2,0.0
1,17,3,3,0.0
1,17,3,4,0.0
1,17,3,5,0.0
1,17,3,6,0.125
1,17,3,7,1.75
1,17,3,8,5.5
1,17,3,9,6.625
1,17,3,10,6.125
1,17,3,11,6.5
1,17,3,12,5.875
1,17,3,13,6.625
1,17,3,14,6.9
1,17,3,15,8.375
1,17,3,16,11.75
1,17,3,17,11.875
1,17,3,18,10.625
1,17,3,19,9.125
1,17,3,20,5.625
1,17,3,21,4.625
1,17,3,22,3.5
1,17,3,23,1.25
1,18,1,0,0.0
1,18,1,1,0.0
1,18,1,2,0.0
1,18,1,3,0.0
1,18,1,4,0.0
1,18,1,5,0.0
1,18,1,6,0.125
1,18,1,7,1.375
1,18,1,8,2.375
1,18,1,9,3.0
1,18,1,10,3.375
1,18,1,11,4.25
1,18,1,12,5.5
1,18,1,13,6.0
1,18,1,14,5.875
1,18,1,15,6.5
1,18,1,16,6.125
1,18,1,17,5.75
1,18,1,18,5.375
1,18,1,19,3.625
1,18,1,20,1.75
1,18,1,21,1.0
1,18,1,22,0.875
1,18,1,23,0.25
1,18,4,0,0.5
1,18,4,1,0.0
1,18,4,2,0.0
1,18,4,3,0.0
1,18,4,4,0.0
1,18,4,5,0.0
1,18,4,6,0.625
1,18,4,7,4.625
1,18,4,8,9.25
1,18,4,9,8.75
1,18,4,10,5.75
1,18,4,11,5.75
1,18,4,12,6.875
1,18,4,13,7.75
1,18,4,14,7.875
1,18,4,15,8.875
1,18,4,16,12.375
1,18,4,17,13.0
1,18,4,18,10.875
1,18,4,19,9.0
1,18,4,20,6.0
1,18,4,21,4.25
1,18,4,22,3.25
1,18,4,23,2.125
1,19,2,0,0.0
1,19,2,1,0.0
1,19,2,2,0.0
1,19,2,3,0.0
1,19,2,4,0.0
1,19,2,5,0.0
1,19,2,6,0.375
1,19,2,7,2.125
1,19,2,8,4.375
1,19,2,9,3.625
1,19,2,10,3.125
1,19,2,11,3.25
1,19,2,12,3.75
1,19,2,13,4.375
1,19,2,14,4.375
1,19,2,15,5.375
1,19,2,16,6.0
1,19,2,17,6.5
1,19,2,18,5.5
1,19,2,19,2.875
1,19,2,20,2.125
1,19,2,21,1.0
1,19,2,22,1.0
1,19,2,23,0.5
1,19,5,0,1.0
1,19,5,1,0.25
1,19,5,2,0.125
1,19,5,3,0.0
1,19,5,4,0.0
1,19,5,5,0.0
1,19,5,6,0.5
1,19,5,7,4.0
1,19,5,8,9.0
1,19,5,9,8.5
1,19,5,10,5.5
1,19,5,11,6.125
1,19,5,12,8.25
1,19,5,13,8.875
1,19,5,14,9.625
1,19,5,15,11.25
1,19,5,16,12.375
1,19,5,17,15.875
1,19,5,18,10.75
1,19,5,19,8.375
1,19,5,20,5.375
1,19,5,21,4.125
1,19,5,22,4.875
1,19,5,23,3.0
1,20,0,4,0.0
1,20,0,5,0.0
1,20,0,6,0.25
1,20,0,7,0.75
1,20,0,8,0.75
1,20,0,9,2.25
1,20,0,10,2.875
1,20,0,11,5.75
1,20,0,12,6.875
1,20,0,13,7.125
1,20,0,14,7.0
1,20,0,15,6.5
1,20,0,16,6.25
1,20,0,17,6.5
1,20,0,18,6.375
1,20,0,19,4.625
1,20,0,20,3.25
1,20,0,21,2.75
1,20,0,22,2.5
1,20,0,23,1.25
1,20,3,0,0.0
1,20,3,11,3.0
1,20,3,12,3.5
1,20,3,13,3.875
1,20,3,14,4.0
1,20,3,15,5.25
1,20,3,16,5.75
1,20,3,17,5.75
1,20,3,18,5.75
1,20,3,19,3.875
1,20,3,20,2.25
1,20,3,21,1.5
1,20,3,22,1.0
1,20,3,23,0.5
1,20,6,0,2.5
1,20,6,1,1.625
1,20,6,2,1.625
1,20,6,3,0.875
1,20,6,4,0.0
1,20,6,5,0.0
1,20,6,6,0.125
1,20,6,7,0.375
1,20,6,8,1.75
1,20,6,9,3.375
1,20,6,10,5.0
1,20,6,11,4.75
1,20,6,12,5.75
1,20,6,13,8.375
1,20,6,14,9.625
1,20,6,15,10.125
1,20,6,16,10.625
1,20,6,17,9.25
1,20,6,18,7.5
1,20,6,19,6.875
1,20,6,20,4.125
1,20,6,21,4.375
1,20,6,22,4.625
1,20,6,23,5.5
