KITS ID,Direction,Month,Day,Hour,Day of Week,Occupancy
5,NB,1,10,11,4,8.625
5,NB,1,10,12,3,8.5
5,NB,1,10,12,4,10.0
5,NB,1,10,13,3,15.0
5,NB,1,10,13,4,10.875
5,NB,1,10,14,3,8.75
5,NB,1,10,14,4,9.625
5,NB,1,10,15,3,8.5
5,NB,1,10,15,4,10.125
5,NB,1,10,16,3,9.75
5,NB,1,10,16,4,15.25
5,NB,1,10,17,3,10.5
5,NB,1,10,17,4,14.375
5,NB,1,10,18,3,28.25
5,NB,1,10,18,4,10.75
5,NB,1,10,19,3,9.875
5,NB,1,10,19,4,9.125
5,NB,1,10,20,3,6.125
5,NB,1,10,20,4,6.5
5,NB,1,10,21,3,5.0
5,NB,1,10,21,4,5.875
5,NB,1,10,22,3,3.375
5,NB,1,10,22,4,3.875
5,NB,1,10,23,3,2.0
5,NB,1,10,23,4,2.125
5,NB,1,11,0,4,1.0
5,NB,1,11,0,5,1.25
5,NB,1,11,1,4,0.25
5,NB,1,11,1,5,0.375
5,NB,1,11,2,4,0.0
5,NB,1,11,2,5,0.125
5,NB,1,11,3,4,0.0
5,NB,1,11,3,5,0.125
5,NB,1,11,4,4,0.0
5,NB,1,11,4,5,0.0
5,NB,1,11,5,4,0.375
5,NB,1,11,5,5,0.625
5,NB,1,11,6,4,2.75
5,NB,1,11,6,5,2.75
5,NB,1,11,7,4,13.25
5,NB,1,11,7,5,12.125
5,NB,1,11,8,4,38.875
5,NB,1,11,8,5,30.125
5,NB,1,11,9,4,26.125
5,NB,1,11,9,5,22.75
5,NB,1,11,10,4,9.0
5,NB,1,11,10,5,8.5
5,NB,1,11,11,4,7.625
5,NB,1,11,11,5,8.25
5,NB,1,11,12,4,8.75
5,NB,1,11,12,5,11.0
5,NB,1,11,13,4,21.0
5,NB,1,11,13,5,11.833333333333334
5,NB,1,11,14,4,9.875
5,NB,1,11,14,5,10.875
5,NB,1,11,15,4,12.125
5,NB,1,11,15,5,11.0
5,NB,1,11,16,4,10.625
5,NB,1,11,16,5,12.0
5,NB,1,11,17,4,10.625
5,NB,1,11,17,5,25.5
5,NB,1,11,18,4,10.125
5,NB,1,11,18,5,18.5
5,NB,1,11,19,4,8.875
5,NB,1,11,19,5,23.125
5,NB,1,11,20,4,5.625
5,NB,1,11,20,5,8.0
5,NB,1,11,21,4,4.75
5,NB,1,11,21,5,6.25
5,NB,1,11,22,4,3.625
5,NB,1,11,22,5,6.0
5,NB,1,11,23,4,2.0
5,NB,1,11,23,5,4.25
5,NB,1,12,0,5,1.125
5,NB,1,12,0,6,2.875
5,NB,1,12,1,5,0.5
5,NB,1,12,1,6,1.875
5,NB,1,12,2,5,0.25
5,NB,1,12,2,6,1.375
5,NB,1,12,3,5,0.0
5,NB,1,12,3,6,0.5
5,NB,1,12,4,5,0.0
5,NB,1,12,4,6,0.125
5,NB,1,12,5,5,0.125
5,NB,1,12,5,6,0.0
5,NB,1,12,6,5,2.375
5,NB,1,12,6,6,0.5
5,NB,1,12,7,5,9.625
5,NB,1,12,7,6,1.25
5,NB,1,12,8,5,24.5
5,NB,1,12,8,6,2.5
5,NB,1,12,9,5,19.75
5,NB,1,12,9,6,5.25
5,NB,1,12,10,5,9.0
5,NB,1,12,10,6,7.375
5,NB,1,12,11,6,9.25
5,NB,1,12,12,6,11.875
5,NB,1,12,13,6,14.625
5,NB,1,12,14,6,19.5
5,NB,1,12,15,6,12.375
5,NB,1,12,16,6,29.375
5,NB,1,12,17,6,10.25
5,NB,1,12,18,6,11.125
5,NB,1,12,19,6,9.875
5,NB,1,12,20,6,8.0
5,NB,1,12,21,6,6.625
5,NB,1,12,22,6,7.25
5,NB,1,12,23,6,5.625
5,NB,1,13,0,0,3.75
5,NB,1,13,1,0,2.75
5,NB,1,13,2,0,2.0
5,NB,1,13,3,0,0.75
5,NB,1,13,4,0,0.0
5,NB,1,13,5,0,0.0
5,NB,1,13,6,0,0.25
5,NB,1,13,7,0,0.625
5,NB,1,13,8,0,1.625
5,NB,1,13,9,0,2.875
5,NB,1,13,10,0,4.875
5,NB,1,13,11,0,7.0
5,NB,1,13,12,0,9.125
